op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,12.53939,12.53939
NONE,HISTORY,yes,1,8.15678,8.15678
1,UPDATE,yes,1,10.17118,10.17118
2,DELETE,yes,1,11.37495,11.37495
3,RESTRICT,yes,1,13.38673,13.38673
NONE,AUDIT,yes,1,3.11923,3.11923
NONE,HISTORY,yes,1,3.31211,3.31211
4,UPDATE,yes,1,5.34034,5.34034
5,DELETE,yes,1,11.86943,11.86943
6,RESTRICT,yes,1,12.44235,12.44235
NONE,AUDIT,yes,1,24.16229,24.16229
NONE,HISTORY,yes,1,12.19082,12.19082
7,UPDATE,yes,1,24.12748,24.12748
8,DELETE,yes,1,29.03247,29.03247
9,RESTRICT,yes,1,46.55528,46.55528
NONE,AUDIT,yes,1,3.24249,3.24249
NONE,HISTORY,yes,1,3.36576,3.36576
10,UPDATE,yes,1,7.44534,7.44534
11,DELETE,yes,1,10.93221,10.93221
12,RESTRICT,yes,1,11.63912,11.63912
NONE,AUDIT,yes,1,28.10907,28.10907
NONE,HISTORY,yes,1,6.85811,6.85811
13,UPDATE,yes,1,17.80486,17.80486
14,DELETE,yes,1,52.64401,52.64401
15,RESTRICT,yes,1,60.60958,60.60958
NONE,AUDIT,yes,1,16.82353,16.82353
NONE,HISTORY,yes,1,40.90047,40.90047
16,UPDATE,yes,1,42.88435,42.88435
17,DELETE,yes,1,51.57304,51.57304
18,RESTRICT,yes,1,55.43780,55.43780
NONE,AUDIT,yes,1,21.80648,21.80648
NONE,HISTORY,yes,1,16.08396,16.08396
19,UPDATE,yes,1,18.32318,18.32318
20,DELETE,yes,1,26.43490,26.43490
21,RESTRICT,yes,1,27.92406,27.92406
NONE,AUDIT,yes,1,32.08470,32.08470
NONE,HISTORY,yes,1,18.69345,18.69345
22,UPDATE,yes,1,24.57333,24.57333
23,DELETE,yes,1,50.02832,50.02832
24,RESTRICT,yes,1,55.44114,55.44114
NONE,AUDIT,yes,1,7.62367,7.62367
NONE,HISTORY,yes,1,3.58510,3.58510
25,UPDATE,yes,1,7.27177,7.27177
26,DELETE,yes,1,14.67776,14.67776
27,RESTRICT,yes,1,17.18616,17.18616
NONE,AUDIT,yes,1,6.14595,6.14595
NONE,HISTORY,yes,1,4.04286,4.04286
28,UPDATE,yes,1,6.84834,6.84834
29,DELETE,yes,1,15.46502,15.46502
30,RESTRICT,yes,1,20.51592,20.51592
NONE,AUDIT,yes,1,14.67347,14.67347
NONE,HISTORY,yes,1,11.22785,11.22785
31,UPDATE,yes,1,13.27109,13.27109
32,DELETE,yes,1,26.22962,26.22962
33,RESTRICT,yes,1,30.45821,30.45821
NONE,AUDIT,yes,1,19.35434,19.35434
NONE,HISTORY,yes,1,14.41431,14.41431
34,UPDATE,yes,1,16.19577,16.19577
35,DELETE,yes,1,18.06879,18.06879
36,RESTRICT,yes,1,20.84899,20.84899
NONE,AUDIT,yes,1,9.33242,9.33242
NONE,HISTORY,yes,1,15.10787,15.10787
37,UPDATE,yes,1,62.44206,62.44206
38,DELETE,yes,1,121.58561,121.58561
39,RESTRICT,yes,1,135.29658,135.29658
NONE,AUDIT,yes,1,24.76907,24.76907
NONE,HISTORY,yes,1,7.12109,7.12109
40,UPDATE,yes,1,12.22205,12.22205
41,DELETE,yes,1,36.55267,36.55267
42,RESTRICT,yes,1,40.14254,40.14254
NONE,AUDIT,yes,1,51.29862,51.29862
NONE,HISTORY,yes,1,29.86145,29.86145
43,UPDATE,yes,1,48.21968,48.21968
44,DELETE,yes,1,64.86440,64.86440
45,RESTRICT,yes,1,88.33289,88.33289
NONE,AUDIT,yes,1,2.87366,2.87366
NONE,HISTORY,yes,1,2.20180,2.20180
46,UPDATE,yes,1,4.27365,4.27365
47,DELETE,yes,1,10.21814,10.21814
48,RESTRICT,yes,1,10.68401,10.68401
NONE,AUDIT,yes,1,103.09935,103.09935
NONE,HISTORY,yes,1,39.31451,39.31451
49,UPDATE,yes,1,60.67061,60.67061
50,DELETE,yes,1,169.92974,169.92974
51,RESTRICT,yes,1,211.85565,211.85565
