op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,15.46216,15.46216
NONE,HISTORY,yes,1,4.65250,4.65250
1,UPDATE,yes,1,7.82490,7.82490
2,DELETE,yes,1,12.04371,12.04371
3,RESTRICT,yes,1,14.02688,14.02688
NONE,AUDIT,yes,1,133.32033,140.32626
NONE,HISTORY,yes,2,45.97735,46.33093
4,UPDATE,yes,2,76.00760,107.32508
5,DELETE,yes,2,150.94471,178.35307
6,RESTRICT,yes,2,198.97056,200.96755
NONE,AUDIT,yes,1,3.48377,8.44669
NONE,HISTORY,yes,3,1.63913,8.75497
7,UPDATE,yes,3,10.14805,12.66575
8,DELETE,yes,3,16.92247,21.65198
9,RESTRICT,yes,3,20.68067,23.35024
NONE,AUDIT,yes,1,131.82998,145.30110
NONE,HISTORY,yes,5,55.70722,76.05290
10,UPDATE,yes,5,97.46647,112.99825
11,DELETE,yes,5,182.82342,203.24206
12,RESTRICT,yes,5,207.97658,271.45028
NONE,AUDIT,yes,1,40.65847,62.85882
NONE,HISTORY,yes,5,23.75031,45.11595
13,UPDATE,yes,5,34.71613,49.89100
14,DELETE,yes,5,48.16937,60.79221
15,RESTRICT,yes,5,49.50380,61.94997
NONE,AUDIT,yes,1,3.28159,12.03012
NONE,HISTORY,yes,6,4.37212,8.74686
16,UPDATE,yes,6,7.37739,19.83500
17,DELETE,yes,6,15.37871,31.12483
18,RESTRICT,yes,6,21.16227,34.03187
NONE,AUDIT,yes,1,58.61425,68.83860
NONE,HISTORY,yes,7,33.70309,42.76490
19,UPDATE,yes,7,49.38698,54.26979
20,DELETE,yes,7,92.12923,140.55634
21,RESTRICT,yes,7,115.07869,178.32780
NONE,AUDIT,yes,1,21.25788,26.06702
NONE,HISTORY,yes,8,7.17783,16.30592
22,UPDATE,yes,8,14.87470,24.23429
23,DELETE,yes,8,27.87137,41.90540
24,RESTRICT,yes,8,42.25969,46.87572
NONE,AUDIT,yes,1,22.33267,28.05352
NONE,HISTORY,yes,9,11.13772,16.24465
25,UPDATE,yes,9,17.49229,23.26322
26,DELETE,yes,9,43.88046,55.58681
27,RESTRICT,yes,9,49.73245,61.11073
NONE,AUDIT,yes,1,34.07598,42.80710
NONE,HISTORY,yes,10,5.23520,24.01161
28,UPDATE,yes,10,14.85300,29.02961
29,DELETE,yes,10,27.15921,68.21227
30,RESTRICT,yes,10,32.26638,91.09473
NONE,AUDIT,yes,1,22.05634,27.37856
NONE,HISTORY,yes,10,5.67603,19.02580
31,UPDATE,yes,10,17.66801,21.00658
32,DELETE,yes,10,39.58631,47.75739
33,RESTRICT,yes,10,47.57380,68.81523
NONE,AUDIT,yes,1,85.16121,95.41130
NONE,HISTORY,yes,10,55.27043,75.96469
34,UPDATE,yes,10,69.75579,81.53772
35,DELETE,yes,10,123.83986,154.40035
36,RESTRICT,yes,10,142.14706,182.51705
NONE,AUDIT,yes,1,5.21064,20.33257
NONE,HISTORY,yes,10,5.11050,20.21575
37,UPDATE,yes,10,17.90166,23.00334
38,DELETE,yes,10,34.27911,45.83454
39,RESTRICT,yes,10,43.75887,48.64860
NONE,AUDIT,yes,1,23.56958,28.88799
NONE,HISTORY,yes,10,11.84011,20.01143
40,UPDATE,yes,10,21.45886,23.62514
41,DELETE,yes,10,36.38744,53.99513
42,RESTRICT,yes,10,48.15722,59.65757
NONE,AUDIT,yes,1,139.20951,234.94887
NONE,HISTORY,yes,10,66.47110,91.41779
43,UPDATE,yes,10,94.11049,126.60813
44,DELETE,yes,10,140.70535,218.76550
45,RESTRICT,yes,10,211.43579,294.15607
NONE,AUDIT,yes,1,7.14684,14.43744
NONE,HISTORY,yes,10,3.85571,19.11354
46,UPDATE,yes,10,11.98530,22.56966
47,DELETE,yes,10,28.06497,47.97697
48,RESTRICT,yes,10,34.78885,51.60904
NONE,AUDIT,yes,1,5.80645,27.68135
NONE,HISTORY,yes,10,2.70391,19.27471
49,UPDATE,yes,10,16.19315,25.14887
50,DELETE,yes,10,45.04085,60.06312
51,RESTRICT,yes,10,54.89945,65.17959
