op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,2.10333,2.10333
NONE,HISTORY,yes,1,2.77376,2.77376
1,UPDATE,yes,1,3.64304,3.64304
2,DELETE,yes,1,9.21607,9.21607
3,RESTRICT,yes,1,11.21688,11.21688
NONE,AUDIT,yes,1,2.09260,4.09198
NONE,HISTORY,yes,2,3.52168,3.59321
4,UPDATE,yes,2,9.65953,17.81273
5,DELETE,yes,2,17.60459,21.51775
6,RESTRICT,yes,2,21.37017,29.01053
NONE,AUDIT,yes,1,33.68640,37.45222
NONE,HISTORY,yes,3,18.30077,22.58277
7,UPDATE,yes,3,27.93050,41.04948
8,DELETE,yes,3,33.84137,53.14898
9,RESTRICT,yes,3,54.23212,60.62341
NONE,AUDIT,yes,1,66.54191,85.43062
NONE,HISTORY,yes,4,69.23652,83.21667
10,UPDATE,yes,4,78.71866,94.67149
11,DELETE,yes,4,98.32501,104.24352
12,RESTRICT,yes,4,103.97482,109.83920
NONE,AUDIT,yes,1,18.90349,37.32300
NONE,HISTORY,yes,5,17.05885,32.45616
13,UPDATE,yes,5,26.81828,40.87949
14,DELETE,yes,5,41.25524,52.98662
15,RESTRICT,yes,5,45.60924,54.85201
NONE,AUDIT,yes,1,48.75278,107.30410
NONE,HISTORY,yes,6,18.10932,75.83690
16,UPDATE,yes,6,45.94970,124.90392
17,DELETE,yes,6,128.75223,243.25895
18,RESTRICT,yes,6,154.76489,287.56452
NONE,AUDIT,yes,1,6.13761,20.11371
NONE,HISTORY,yes,8,7.60007,13.10563
19,UPDATE,yes,8,12.67982,21.86346
20,DELETE,yes,8,35.30288,45.32146
21,RESTRICT,yes,8,39.00599,48.90060
NONE,AUDIT,yes,1,104.29835,125.50068
NONE,HISTORY,yes,9,55.73559,80.00541
22,UPDATE,yes,9,85.67953,140.18106
23,DELETE,yes,9,158.38313,270.35022
24,RESTRICT,yes,9,254.36020,301.94783
NONE,AUDIT,yes,1,20.67518,28.90396
NONE,HISTORY,yes,10,2.78163,20.40935
25,UPDATE,yes,10,17.24529,27.66848
26,DELETE,yes,10,44.55280,61.04660
27,RESTRICT,yes,10,53.14016,63.57384
NONE,AUDIT,yes,1,21.36397,27.21643
NONE,HISTORY,yes,11,6.50883,19.37342
28,UPDATE,yes,11,15.77854,33.28657
29,DELETE,yes,11,38.81335,59.18193
30,RESTRICT,yes,11,54.57115,69.99803
NONE,AUDIT,yes,1,94.55299,115.14664
NONE,HISTORY,yes,12,31.19922,56.72908
31,UPDATE,yes,12,56.60248,88.21344
32,DELETE,yes,12,109.60722,202.16060
33,RESTRICT,yes,12,190.53173,216.66145
NONE,AUDIT,yes,1,25.37274,30.91645
NONE,HISTORY,yes,13,3.78585,21.07954
34,UPDATE,yes,13,16.72435,39.59465
35,DELETE,yes,13,41.88323,61.57136
36,RESTRICT,yes,13,58.57325,89.16736
NONE,AUDIT,yes,1,62.49213,123.21091
NONE,HISTORY,yes,14,39.53838,94.13576
37,UPDATE,yes,14,75.87862,101.06063
38,DELETE,yes,14,82.05247,117.87152
39,RESTRICT,yes,14,86.32565,118.99638
NONE,AUDIT,yes,1,55.75848,78.86219
NONE,HISTORY,yes,15,37.82439,75.79827
40,UPDATE,yes,15,59.94320,86.42030
41,DELETE,yes,15,89.12873,148.28229
42,RESTRICT,yes,15,132.60198,156.74448
NONE,AUDIT,yes,1,69.26394,86.54571
NONE,HISTORY,yes,16,32.76801,53.12824
43,UPDATE,yes,16,55.22251,64.53991
44,DELETE,yes,16,70.84870,113.57641
45,RESTRICT,yes,16,100.81363,125.91624
NONE,AUDIT,yes,1,25.02656,36.95393
NONE,HISTORY,yes,17,7.89547,39.05034
46,UPDATE,yes,17,18.78119,53.38621
47,DELETE,yes,17,56.48017,92.84329
48,RESTRICT,yes,17,77.40903,114.88366
NONE,AUDIT,yes,1,24.22237,69.79823
NONE,HISTORY,yes,18,40.67063,74.61405
49,UPDATE,yes,18,75.60968,90.87205
50,DELETE,yes,18,97.71776,135.81300
51,RESTRICT,yes,18,127.46572,144.62924
