op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,13.09276,13.09276
NONE,HISTORY,yes,1,7.08890,7.08890
1,UPDATE,yes,1,10.63013,10.63013
2,DELETE,yes,1,25.34175,25.34175
3,RESTRICT,yes,1,29.90103,29.90103
NONE,AUDIT,yes,1,16.13879,21.44170
NONE,HISTORY,yes,3,8.26716,9.36794
4,UPDATE,yes,3,13.97061,18.41402
5,DELETE,yes,3,18.22186,22.26734
6,RESTRICT,yes,3,27.10128,32.92012
NONE,AUDIT,yes,1,14.45818,16.03222
NONE,HISTORY,yes,4,6.66213,9.17387
7,UPDATE,yes,4,10.83684,13.29112
8,DELETE,yes,4,22.00031,27.91572
9,RESTRICT,yes,4,37.80222,41.82124
NONE,AUDIT,yes,1,8.35299,13.66830
NONE,HISTORY,yes,5,5.62048,10.14328
10,UPDATE,yes,5,10.04958,14.19210
11,DELETE,yes,5,22.78399,28.07736
12,RESTRICT,yes,5,26.81351,33.48899
NONE,AUDIT,yes,1,18.08500,21.26074
NONE,HISTORY,yes,6,9.43995,15.20252
13,UPDATE,yes,6,14.79197,19.58394
14,DELETE,yes,6,28.70107,33.64372
15,RESTRICT,yes,6,32.30953,35.80880
NONE,AUDIT,yes,1,43.98775,49.85714
NONE,HISTORY,yes,6,47.26624,79.48303
16,UPDATE,yes,6,50.71712,85.70027
17,DELETE,yes,6,63.43460,98.54889
18,RESTRICT,yes,6,65.95945,102.38457
NONE,AUDIT,yes,1,8.23236,20.32185
NONE,HISTORY,yes,7,6.17790,26.41964
19,UPDATE,yes,7,23.71693,28.72634
20,DELETE,yes,7,40.70687,60.68778
21,RESTRICT,yes,7,46.07630,63.60435
NONE,AUDIT,yes,1,43.50829,58.80713
NONE,HISTORY,yes,7,35.90035,53.34067
22,UPDATE,yes,7,48.54584,62.34932
23,DELETE,yes,7,54.67701,77.76594
24,RESTRICT,yes,7,73.05670,104.29192
NONE,AUDIT,yes,1,22.86959,28.10574
NONE,HISTORY,yes,8,11.09362,18.87941
25,UPDATE,yes,8,19.18936,37.88519
26,DELETE,yes,8,35.24828,52.34003
27,RESTRICT,yes,8,50.00377,67.13176
NONE,AUDIT,yes,1,137.74300,165.28559
NONE,HISTORY,yes,10,58.01249,77.02494
28,UPDATE,yes,10,79.35286,136.90591
29,DELETE,yes,10,136.28864,171.98849
30,RESTRICT,yes,10,181.53667,194.24915
NONE,AUDIT,yes,1,24.81532,32.25803
NONE,HISTORY,yes,10,8.37302,15.52296
31,UPDATE,yes,10,15.77759,23.99468
32,DELETE,yes,10,30.38383,46.17286
33,RESTRICT,yes,10,44.54470,60.16421
NONE,AUDIT,yes,1,14.40668,33.74624
NONE,HISTORY,yes,10,3.97658,30.58720
34,UPDATE,yes,10,18.95690,35.78138
35,DELETE,yes,10,41.32557,61.12742
36,RESTRICT,yes,10,52.80018,67.19542
NONE,AUDIT,yes,1,14.74738,27.19665
NONE,HISTORY,yes,10,7.36833,17.07506
37,UPDATE,yes,10,13.65614,24.05214
38,DELETE,yes,10,41.93878,53.87568
39,RESTRICT,yes,10,49.69788,59.19337
NONE,AUDIT,yes,1,17.21764,21.45767
NONE,HISTORY,yes,10,2.35248,32.02701
40,UPDATE,yes,10,4.31609,36.01837
41,DELETE,yes,10,28.60403,66.04695
42,RESTRICT,yes,10,33.60224,72.29257
NONE,AUDIT,yes,1,2.33364,19.20509
NONE,HISTORY,yes,10,14.87184,33.47445
43,UPDATE,yes,10,30.46465,36.58295
44,DELETE,yes,10,44.92497,60.65202
45,RESTRICT,yes,10,50.75455,64.48531
NONE,AUDIT,yes,1,51.39804,60.09674
NONE,HISTORY,yes,10,27.27103,36.24010
46,UPDATE,yes,10,42.95683,66.51425
47,DELETE,yes,10,79.54502,90.47127
48,RESTRICT,yes,10,91.78281,121.97399
NONE,AUDIT,yes,1,9.04894,16.25609
NONE,HISTORY,yes,10,2.66767,26.01266
49,UPDATE,yes,10,3.43108,33.98824
50,DELETE,yes,10,20.81013,64.01396
51,RESTRICT,yes,10,25.51866,66.77198
