op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,2.37560,2.37560
NONE,HISTORY,yes,1,1.81746,1.81746
1,UPDATE,yes,1,6.57296,6.57296
2,DELETE,yes,1,13.00120,13.00120
3,RESTRICT,yes,1,18.53585,18.53585
NONE,AUDIT,yes,1,48.17486,48.17486
NONE,HISTORY,yes,1,37.16850,37.16850
4,UPDATE,yes,1,40.71641,40.71641
5,DELETE,yes,1,55.78279,55.78279
6,RESTRICT,yes,1,57.36327,57.36327
NONE,AUDIT,yes,1,14.28628,14.28628
NONE,HISTORY,yes,1,7.01499,7.01499
7,UPDATE,yes,1,17.99798,17.99798
8,DELETE,yes,1,26.42584,26.42584
9,RESTRICT,yes,1,30.67040,30.67040
NONE,AUDIT,yes,1,2.39658,2.39658
NONE,HISTORY,yes,1,3.63302,3.63302
10,UPDATE,yes,1,9.35578,9.35578
11,DELETE,yes,1,15.22183,15.22183
12,RESTRICT,yes,1,18.13555,18.13555
NONE,AUDIT,yes,1,2.65408,2.65408
NONE,HISTORY,yes,1,3.44253,3.44253
13,UPDATE,yes,1,7.17974,7.17974
14,DELETE,yes,1,16.98542,16.98542
15,RESTRICT,yes,1,19.02175,19.02175
NONE,AUDIT,yes,1,27.30536,27.30536
NONE,HISTORY,yes,1,16.53194,16.53194
16,UPDATE,yes,1,20.88118,20.88118
17,DELETE,yes,1,36.92508,36.92508
18,RESTRICT,yes,1,40.22694,40.22694
NONE,AUDIT,yes,1,7.12895,7.12895
NONE,HISTORY,yes,1,3.51095,3.51095
19,UPDATE,yes,1,4.83799,4.83799
20,DELETE,yes,1,14.19616,14.19616
21,RESTRICT,yes,1,16.94417,16.94417
NONE,AUDIT,yes,1,1.19638,1.19638
NONE,HISTORY,yes,1,1.57547,1.57547
22,UPDATE,yes,1,3.97706,3.97706
23,DELETE,yes,1,5.67436,5.67436
24,RESTRICT,yes,1,9.32074,9.32074
NONE,AUDIT,yes,1,25.55990,25.55990
NONE,HISTORY,yes,1,21.83938,21.83938
25,UPDATE,yes,1,23.06461,23.06461
26,DELETE,yes,1,36.69333,36.69333
27,RESTRICT,yes,1,40.08412,40.08412
NONE,AUDIT,yes,1,13.91697,13.91697
NONE,HISTORY,yes,1,7.08246,7.08246
28,UPDATE,yes,1,10.51378,10.51378
29,DELETE,yes,1,17.30204,17.30204
30,RESTRICT,yes,1,21.54613,21.54613
NONE,AUDIT,yes,1,3.52645,3.52645
NONE,HISTORY,yes,1,2.01035,2.01035
31,UPDATE,yes,1,2.90561,2.90561
32,DELETE,yes,1,6.14429,6.14429
33,RESTRICT,yes,1,10.92243,10.92243
NONE,AUDIT,yes,1,21.18683,21.18683
NONE,HISTORY,yes,1,13.69333,13.69333
34,UPDATE,yes,1,16.84594,16.84594
35,DELETE,yes,1,20.86473,20.86473
36,RESTRICT,yes,1,22.13335,22.13335
NONE,AUDIT,yes,1,64.81671,64.81671
NONE,HISTORY,yes,1,29.41060,29.41060
37,UPDATE,yes,1,50.30322,50.30322
38,DELETE,yes,1,80.52206,80.52206
39,RESTRICT,yes,1,101.52149,101.52149
NONE,AUDIT,yes,1,58.82692,58.82692
NONE,HISTORY,yes,1,28.70226,28.70226
40,UPDATE,yes,1,44.01040,44.01040
41,DELETE,yes,1,80.91021,80.91021
42,RESTRICT,yes,1,98.24514,98.24514
NONE,AUDIT,yes,1,86.05409,86.05409
NONE,HISTORY,yes,1,43.37692,43.37692
43,UPDATE,yes,1,51.36704,51.36704
44,DELETE,yes,1,103.38116,103.38116
45,RESTRICT,yes,1,131.37245,131.37245
NONE,AUDIT,yes,1,4.08983,4.08983
NONE,HISTORY,yes,1,3.65639,3.65639
46,UPDATE,yes,1,5.55444,5.55444
47,DELETE,yes,1,11.70731,11.70731
48,RESTRICT,yes,1,13.45372,13.45372
NONE,AUDIT,yes,1,21.91639,21.91639
NONE,HISTORY,yes,1,16.47544,16.47544
49,UPDATE,yes,1,20.18189,20.18189
50,DELETE,yes,1,31.16655,31.16655
51,RESTRICT,yes,1,34.57832,34.57832
