op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,120.22591,120.22591
NONE,HISTORY,yes,1,58.76827,58.76827
1,UPDATE,yes,1,88.66072,88.66072
2,DELETE,yes,1,117.14840,117.14840
3,RESTRICT,yes,1,190.04607,190.04607
NONE,AUDIT,yes,1,21.38877,21.38877
NONE,HISTORY,yes,1,24.38617,24.38617
4,UPDATE,yes,1,56.41961,56.41961
5,DELETE,yes,1,134.46546,134.46546
6,RESTRICT,yes,1,139.40120,139.40120
NONE,AUDIT,yes,1,11.00564,11.00564
NONE,HISTORY,yes,1,5.30124,5.30124
7,UPDATE,yes,1,8.14128,8.14128
8,DELETE,yes,1,14.81652,14.81652
9,RESTRICT,yes,1,17.16113,17.16113
NONE,AUDIT,yes,1,12.64429,12.64429
NONE,HISTORY,yes,1,4.45747,4.45747
10,UPDATE,yes,1,8.60214,8.60214
11,DELETE,yes,1,22.79258,22.79258
12,RESTRICT,yes,1,33.45466,33.45466
NONE,AUDIT,yes,1,11.92641,11.92641
NONE,HISTORY,yes,1,27.13776,27.13776
13,UPDATE,yes,1,38.30171,38.30171
14,DELETE,yes,1,65.65475,65.65475
15,RESTRICT,yes,1,77.94237,77.94237
NONE,AUDIT,yes,1,69.20838,73.71497
NONE,HISTORY,yes,3,46.28134,53.25818
16,UPDATE,yes,3,70.16897,76.66945
17,DELETE,yes,3,75.81162,82.32665
18,RESTRICT,yes,3,88.01651,90.75713
NONE,AUDIT,yes,1,20.55025,24.92070
NONE,HISTORY,yes,3,12.45308,15.19752
19,UPDATE,yes,3,17.45009,20.74957
20,DELETE,yes,3,37.61840,39.33740
21,RESTRICT,yes,3,41.99338,42.45877
NONE,AUDIT,yes,1,5.51367,6.76799
NONE,HISTORY,yes,3,1.66917,2.92706
22,UPDATE,yes,3,5.31125,6.68454
23,DELETE,yes,3,13.31925,16.62040
24,RESTRICT,yes,3,16.68620,18.36467
NONE,AUDIT,yes,1,5.87010,8.51965
NONE,HISTORY,yes,3,2.78521,5.29647
25,UPDATE,yes,3,8.47936,10.00619
26,DELETE,yes,3,19.65475,24.83988
27,RESTRICT,yes,3,24.30987,26.42846
NONE,AUDIT,yes,1,70.21308,77.57020
NONE,HISTORY,yes,3,20.05601,35.15673
28,UPDATE,yes,3,45.50028,64.14676
29,DELETE,yes,3,124.34554,145.43533
30,RESTRICT,yes,3,144.85979,166.62502
NONE,AUDIT,yes,1,9.11498,12.47740
NONE,HISTORY,yes,3,5.45549,9.22441
31,UPDATE,yes,3,7.94125,12.56418
32,DELETE,yes,3,18.06569,22.60780
33,RESTRICT,yes,3,23.65565,25.37417
NONE,AUDIT,yes,1,6.10614,12.28929
NONE,HISTORY,yes,3,5.94258,7.16162
34,UPDATE,yes,3,9.41229,10.96153
35,DELETE,yes,3,18.16797,21.06667
36,RESTRICT,yes,3,20.59484,23.57602
NONE,AUDIT,yes,1,7.72738,9.08303
NONE,HISTORY,yes,3,3.65806,6.42443
37,UPDATE,yes,3,6.40416,11.14416
38,DELETE,yes,3,15.91420,18.51892
39,RESTRICT,yes,3,18.13316,21.75164
NONE,AUDIT,yes,1,16.64877,17.50040
NONE,HISTORY,yes,3,3.03364,14.59575
40,UPDATE,yes,3,4.00925,19.42396
41,DELETE,yes,3,11.69896,31.69656
42,RESTRICT,yes,3,23.44561,37.03618
NONE,AUDIT,yes,1,2.92492,7.45511
NONE,HISTORY,yes,3,5.60975,8.83675
43,UPDATE,yes,3,12.64858,13.89337
44,DELETE,yes,3,19.53506,21.49653
45,RESTRICT,yes,3,24.02258,27.15850
NONE,AUDIT,yes,1,15.08522,16.42370
NONE,HISTORY,yes,3,8.16584,9.96518
46,UPDATE,yes,3,12.06470,14.79936
47,DELETE,yes,3,22.45522,24.94478
48,RESTRICT,yes,3,24.97268,29.87170
NONE,AUDIT,yes,1,8.65984,10.78367
NONE,HISTORY,yes,3,2.85268,9.55486
49,UPDATE,yes,3,6.69622,15.29574
50,DELETE,yes,3,19.26112,24.31464
51,RESTRICT,yes,3,23.83780,30.54667
