op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,82.04675,82.04675
NONE,HISTORY,yes,1,128.54767,128.54767
1,UPDATE,yes,1,147.65048,147.65048
2,DELETE,yes,1,184.35025,184.35025
3,RESTRICT,yes,1,208.24456,208.24456
NONE,AUDIT,yes,1,5.59807,5.59807
NONE,HISTORY,yes,1,4.80723,4.80723
4,UPDATE,yes,1,8.32748,8.32748
5,DELETE,yes,1,12.84957,12.84957
6,RESTRICT,yes,1,14.96506,14.96506
NONE,AUDIT,yes,1,7.26128,7.26128
NONE,HISTORY,yes,1,9.91535,9.91535
7,UPDATE,yes,1,11.75380,11.75380
8,DELETE,yes,1,13.71098,13.71098
9,RESTRICT,yes,1,15.83314,15.83314
NONE,AUDIT,yes,1,7.62296,7.62296
NONE,HISTORY,yes,1,5.34081,5.34081
10,UPDATE,yes,1,7.64370,7.64370
11,DELETE,yes,1,10.30469,10.30469
12,RESTRICT,yes,1,12.08162,12.08162
NONE,AUDIT,yes,1,40.69710,40.69710
NONE,HISTORY,yes,1,34.99269,34.99269
13,UPDATE,yes,1,54.01754,54.01754
14,DELETE,yes,1,58.99715,58.99715
15,RESTRICT,yes,1,61.62667,61.62667
NONE,AUDIT,yes,1,5.99384,5.99384
NONE,HISTORY,yes,1,54.19874,54.19874
16,UPDATE,yes,1,60.99892,60.99892
17,DELETE,yes,1,105.58057,105.58057
18,RESTRICT,yes,1,117.98406,117.98406
NONE,AUDIT,yes,1,2.93994,2.93994
NONE,HISTORY,yes,1,2.05135,2.05135
19,UPDATE,yes,1,2.62094,2.62094
20,DELETE,yes,1,3.70717,3.70717
21,RESTRICT,yes,1,4.67873,4.67873
NONE,AUDIT,yes,1,11.78050,11.78050
NONE,HISTORY,yes,1,8.88276,8.88276
22,UPDATE,yes,1,13.59606,13.59606
23,DELETE,yes,1,21.26503,21.26503
24,RESTRICT,yes,1,25.47145,25.47145
NONE,AUDIT,yes,1,2.73824,2.73824
NONE,HISTORY,yes,1,2.51079,2.51079
25,UPDATE,yes,1,6.87385,6.87385
26,DELETE,yes,1,10.08105,10.08105
27,RESTRICT,yes,1,10.73623,10.73623
NONE,AUDIT,yes,1,4.27222,4.27222
NONE,HISTORY,yes,1,6.49118,6.49118
28,UPDATE,yes,1,8.56471,8.56471
29,DELETE,yes,1,9.93228,9.93228
30,RESTRICT,yes,1,10.30326,10.30326
NONE,AUDIT,yes,1,4.64368,4.64368
NONE,HISTORY,yes,1,3.16715,3.16715
31,UPDATE,yes,1,4.74262,4.74262
32,DELETE,yes,1,11.40285,11.40285
33,RESTRICT,yes,1,12.38322,12.38322
NONE,AUDIT,yes,1,7.63011,7.63011
NONE,HISTORY,yes,1,6.97446,6.97446
34,UPDATE,yes,1,11.74045,11.74045
35,DELETE,yes,1,13.84020,13.84020
36,RESTRICT,yes,1,17.74621,17.74621
NONE,AUDIT,yes,1,38.84673,38.84673
NONE,HISTORY,yes,1,51.53966,51.53966
37,UPDATE,yes,1,67.71159,67.71159
38,DELETE,yes,1,90.91520,90.91520
39,RESTRICT,yes,1,103.52755,103.52755
NONE,AUDIT,yes,1,83.65297,83.65297
NONE,HISTORY,yes,1,57.25336,57.25336
40,UPDATE,yes,1,103.21021,103.21021
41,DELETE,yes,1,107.50222,107.50222
42,RESTRICT,yes,1,111.07707,111.07707
NONE,AUDIT,yes,1,9.35745,9.35745
NONE,HISTORY,yes,1,10.93245,10.93245
43,UPDATE,yes,1,18.21136,18.21136
44,DELETE,yes,1,20.23482,20.23482
45,RESTRICT,yes,1,21.41643,21.41643
NONE,AUDIT,yes,1,22.60447,22.60447
NONE,HISTORY,yes,1,32.93824,32.93824
46,UPDATE,yes,1,42.74845,42.74845
47,DELETE,yes,1,50.05598,50.05598
48,RESTRICT,yes,1,62.66785,62.66785
NONE,AUDIT,yes,1,11.18541,11.18541
NONE,HISTORY,yes,1,6.29640,6.29640
49,UPDATE,yes,1,13.39984,13.39984
50,DELETE,yes,1,15.44046,15.44046
51,RESTRICT,yes,1,21.58308,21.58308
