op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,5.21564,5.21564
NONE,HISTORY,yes,1,3.96013,3.96013
1,UPDATE,yes,1,8.76880,8.76880
2,DELETE,yes,1,16.64376,16.64376
3,RESTRICT,yes,1,26.39008,26.39008
NONE,AUDIT,yes,1,54.12459,60.00185
NONE,HISTORY,yes,2,28.32794,28.43928
4,UPDATE,yes,2,48.05660,51.70846
5,DELETE,yes,2,53.48468,77.46696
6,RESTRICT,yes,2,107.83410,107.91564
NONE,AUDIT,yes,1,4.94647,7.38573
NONE,HISTORY,yes,3,3.40748,5.03874
7,UPDATE,yes,3,6.86932,11.53970
8,DELETE,yes,3,12.90560,18.87560
9,RESTRICT,yes,3,22.89939,25.23518
NONE,AUDIT,yes,1,38.82885,46.79966
NONE,HISTORY,yes,4,13.38530,22.55869
10,UPDATE,yes,4,18.89324,43.72430
11,DELETE,yes,4,45.97592,61.03253
12,RESTRICT,yes,4,59.65829,78.59278
NONE,AUDIT,yes,1,103.05786,121.60063
NONE,HISTORY,yes,6,44.07549,52.70648
13,UPDATE,yes,6,72.00241,120.30005
14,DELETE,yes,6,161.32617,193.29953
15,RESTRICT,yes,6,183.84147,272.02296
NONE,AUDIT,yes,1,34.77740,38.74135
NONE,HISTORY,yes,7,7.52234,21.38638
16,UPDATE,yes,7,20.81513,37.01544
17,DELETE,yes,7,45.39800,56.83351
18,RESTRICT,yes,7,54.76356,66.90907
NONE,AUDIT,yes,1,45.48478,52.40893
NONE,HISTORY,yes,8,14.70709,24.29509
19,UPDATE,yes,8,28.37086,38.00130
20,DELETE,yes,8,39.95419,63.64703
21,RESTRICT,yes,8,65.64283,81.76422
NONE,AUDIT,yes,1,7.94888,18.74804
NONE,HISTORY,yes,9,7.81655,22.53222
22,UPDATE,yes,9,22.13645,31.14533
23,DELETE,yes,9,33.52451,51.73874
24,RESTRICT,yes,9,51.56422,58.99978
NONE,AUDIT,yes,1,41.15319,55.23372
NONE,HISTORY,yes,10,46.41080,57.05714
25,UPDATE,yes,10,59.94344,66.97869
26,DELETE,yes,10,70.41287,96.17400
27,RESTRICT,yes,10,91.34221,100.38662
NONE,AUDIT,yes,1,58.97045,71.32745
NONE,HISTORY,yes,11,24.48320,40.91907
28,UPDATE,yes,11,44.40618,59.53908
29,DELETE,yes,11,65.37414,110.58092
30,RESTRICT,yes,11,114.18295,142.16685
NONE,AUDIT,yes,1,77.33703,95.14761
NONE,HISTORY,yes,12,28.82457,44.41714
31,UPDATE,yes,12,44.08979,70.01591
32,DELETE,yes,12,69.20505,131.73246
33,RESTRICT,yes,12,109.41076,158.67686
NONE,AUDIT,yes,1,152.17137,188.78889
NONE,HISTORY,yes,13,49.98875,90.55138
34,UPDATE,yes,13,91.91465,135.15162
35,DELETE,yes,13,153.49460,236.17816
36,RESTRICT,yes,13,228.56236,248.52395
NONE,AUDIT,yes,1,29.45852,39.53266
NONE,HISTORY,yes,14,4.55499,25.43473
37,UPDATE,yes,14,16.78586,48.10119
38,DELETE,yes,14,52.12665,87.93139
39,RESTRICT,yes,14,67.91472,115.48471
NONE,AUDIT,yes,1,129.18901,155.28560
NONE,HISTORY,yes,15,34.18183,100.15559
40,UPDATE,yes,15,88.93323,120.24045
41,DELETE,yes,15,159.15537,197.19195
42,RESTRICT,yes,15,188.49564,203.66693
NONE,AUDIT,yes,1,36.58795,45.90273
NONE,HISTORY,yes,16,12.24256,25.19441
43,UPDATE,yes,16,22.10498,43.40982
44,DELETE,yes,16,45.82763,83.65798
45,RESTRICT,yes,16,74.27025,99.02811
NONE,AUDIT,yes,1,262.90798,359.57503
NONE,HISTORY,yes,17,83.52709,126.03831
46,UPDATE,yes,17,145.93697,223.78349
47,DELETE,yes,17,234.90548,365.15784
48,RESTRICT,yes,17,358.35552,405.33209
NONE,AUDIT,yes,1,117.77759,156.04115
NONE,HISTORY,yes,18,45.90917,88.96399
49,UPDATE,yes,18,79.65446,109.70974
50,DELETE,yes,18,209.07903,284.99961
51,RESTRICT,yes,18,252.60353,302.99425
